,0
3004,저자는 년 차 개발자로 활동하고 있는 컴퓨터 비전공자다
3005,그는 졸업 후 난생 처음 코딩을 배워 개발자로 취업했지만 프리랜서 개발자로 활발히 활동 중이다
3006,비전공자라는 걱정도 잠시 막상 일해 보니 문과 출신의 개발자가 주도적으로 커리어를 쌓고 더 나은 개발 결과를 내어 놓는 경우가 숱했다
3007,온갖 기술이 융합되는 차 산업혁명 시대에는 기술만 가진 전공자보다 문제를 깊게 생각하고 해결하는 데 익숙한 문과 전공자가 성공할 가능성이 높았던 것이다
3008,아직도 문과 나와서 죄송하다는 생각이 드는가 스티브 잡스도 철학과였고 엘론 머스크는 코딩을 독학했다
3009,전공에 자신을 가두지 말고 적극적으로 한눈을 팔아 원하는 삶을 쟁취하자
3010,이 책이 전문직을 갖고픈 문과생들에게 새로운 비전을 제시해 줄 것이다
3011,엑셀 파워포인트 워드 한글 모든 버전에서 학습할 수 있는 우선순위 핵심기능만 빠르게 익힌다
3012,업무에 최적화된 실무 예제로 단숨에 마스터하는 직장인의 업무 잘하는 기술
3013,오피스 Office 와 한글 NEO 까지 버전에 상관없이 실무를 하는 데 꼭 필요한 엑셀 파워포인트 워드 한글 기능을 한 권의 책으로 학습할 수 있다
3014,각 프로그램별 최우선순위 기능 가지를 학습하고 회사에서 바로 가져온 여 개 실무 예제를 따라 하면서 오피스의 기초부터 빠르고 정확하게 업무에 활용하는 기술까지 한 번에 습득한다
3015,엑셀로 효율적인 업무 관리를 파워포인트로 청중을 사로잡는 발표 노하우를 워드와 한글에서는 실무에서 바로 써먹는 문서 작성 및 편집 기술을 익혀 탄탄한 실무 경쟁력을 쌓을 수 있다
3016,함께 는 협력을 말하고 자라기 는 학습을 말합니다
3017,무엇이건 실제 바깥세상 야생 에 임팩트를 남기려면 혼자 힘으로만 되는 게 없습니다
3018,함께 해야 합니다
3019,주변 사람들과 함께
3020,매일 부대끼는 동료들과 함께
3021,스스로 변하고 싶지만 계속 실패하는 사람 조직을 개선하기 위한 시도를 하다가 오히려 데어본 사람 불확실한 상황에서 합리적인 판단을 해야 하는 사람 한 분야에서 전문성을 키워야 하는 사람에게 전문성을 키울 수 있는 제대로 된 방법을 알려줍니다
3022,어떤 분야에서 일하든 어느 위치에 있든 상관 없습니다
3023,이 책에서는 일하는 방법의 핵심과 통찰을 다룹니다
3024,개인의 힘으로는 극복할 수 없는 한계를 깨뜨리려면 모두가 같이 발전해야 합니다
3025,나 그리고 더 나아가 남을 변화시키는 삶에 대해 얘기합니다
3026,직원을 뽑을 때 무엇이 그 사람의 실력을 가장 잘 예측할까
3027,수십 년 같은 일을 해도 전문가가 안 되는 이유와 제자리걸음에서 벗어나는 방법
3028,커뮤니케이션과 협력을 잘하는 방안
3029,리더의 역할과 멘토링 코칭 능력을 향상시키려면
3030,빠른 학습 능력을 보이는 탁월한 팀의 비밀
3031,조직을 효과적으로 변화시키려면
3032,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
3033,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
3034,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
3035,난생 처음으로 프로그래밍을 시작하는 분들이라면 생활코딩 강의로 시작하세요
3036,이고잉 님의 HTML CSS 자바스크립트 강의는 이미 많은 분들에 의해 검증받은 독창적인 강의로 손꼽히고 있습니다
3037,단순히 HTML CSS 자바스크립트 기술을 알려주는 데서 그치는 것이 아니라 무엇을 모르는지 모르는 상태에서조차 무언가를 배울 수 있는 학습 방법까지도 습득할 수 있습니다
3038,초심자를 배려하는 상세한 설명과 통계를 기반으로 하는 실용적인 학습 내용 구성까지 이 책을 통해 HTML CSS 자바스크립트를 배운다면 기본은 물론 응용력까지도 금세 키울 수 있을 것입니다
3039,이 책에서 다루는 내용
3040,코딩이란 무엇인가
3041,HTML CSS 자바스크립트 기초
3042,HTML CSS 자바스크립트를 이용한 웹페이지 제작
3043,웹과 웹 서버의 동작 원리
3044,자바스크립트를 통해 배우는 프로그래밍의 원리
3045,눈이 탁 트이는 큰 글씨와 큰 그림
3046,컴퓨터를 처음 배우는 초보자들을 위해 큰 글씨와 큰 그림으로 구성하였습니다
3047,알면 알수록 보이는 쉬운 구성
3048,알아두어야 할 기초적인 내용들을 중심으로 이해도를 높여 기초를 탄탄하게 세울 수 있도록 설명과 따라하기 방식을 적절히 조합하여 구성하였습니다
3049,실력에 날개를 달아주는 활용마당
3050,반복 학습으로 이해도를 높이고 응용 학습을 통해 실력을 높일 수 있도록 구성하였습니다
3051,이 책은 오픈소스 검색엔진의 대표 주자인 엘라스틱서치에 대한 전반적인 내용을 다룬다
3052,하지만 단순히 엘라스틱서치의 기능을 단편적으로만 설명하고 끝내는 것이 아니라 한국 검색 시장에 맞게 한글 형태소 분석기를 이용하는 방법이나 한글 자동완성 구현 원리 대용량 클러스터 운영을 위한 노하우까지도 아낌없이 설명하려고 노력했다
3053,이 책을 통해 저자들이 수년간 검색 시스템을 구축하고 운영하면서 얻은 노하우와 한글 처리 기법들을 얻어가길 바란다
3054,눈이 탁 트이는 큰 글씨와 큰 그림
3055,컴퓨터를 처음 배우는 초보자들을 위해 큰 글씨와 큰 그림으로 구성하였습니다
3056,알면 알수록 보이는 쉬운 구성
3057,알아두어야 할 기초적인 내용들을 중심으로 이해도를 높여 기초를 탄탄하게 세울 수 있도록 설명과 따라하기 방식을 적절히 조합하여 구성하였습니다
3058,실력에 날개를 달아주는 활용 마당
3059,반복 학습으로 이해도를 높이고 응용 학습을 통해 실력을 높일 수 있도록 구성하였습니다
3060,최근 모바일 기기 사용이 늘면서 시스템에서 처리할 이벤트나 데이터가 극단적으로 증가하고 있다
3061,이에 따라 대용량 데이터의 저장과 업데이트가 쉴 새 없이 이뤄지고 있고 심지어 이 데이터가 실시간으로 반영되기를 원한다
3062,이와 같은 변화는 기존 프로그래밍 방식으로는 처리하기가 어려워서 그 해결책으로 리액티브 프로그래밍이 주목받고 있다
3063,리액티브 프로그래밍은 데이터가 변경되는 흐름에 따라 자동으로 전파되는 프로그래밍 방식으로 주로 GUI 입출력 시간 경과에 따라 상태가 변화하는 처리 비동기 통신을 하는 애플리케이션에 사용하기 적합하다
3064,이 책에서 다루는 RxJava은 이러한 요구 사항를 충족하는 자바 라이브러리로 원래 서버 측의 비동기 처리를 단순화하고자 마이크로소프트가 공개한 Reactive Extensions를 넷플릭스가 자바에 도입한 것이다
3065,RxJava는 서버 사이드뿐만 아니라 많은 이벤트 처리를 다뤄야 하는 안드로이드 안드로이드 와도 궁합이 잘 맞아 안드로이드 개발에 인기가 높아지고 있다
3066,이 책은 리액티브 프로그래밍을 처음 접하는 사람을 위해 Reactive Streams부터 람다식과 비동기 처리까지 리액티브 프로그래밍의 기초를 다루며 RxJava의 메커니즘과 연산자는 물론 디버깅과 테스트까지 RxJava로 리액티브 프로그래밍을 구현하는 데 필요한 기본기를 다질 수 있게 돕는다
3067,또한 RxJava의 자세한 사용법은 기능이나 구조를 시각화한 마블 다이어그램과 예제로 익힐 수 있다
3068,최근에는 머신러닝 딥러닝 환경을 갖추기만 하면 누구라도 쉽게 머신러닝 딥러닝을 할 수 있게 되었습니다
3069,그래서 다양한 서비스와 애플리케이션에서 머신러닝을 활용하는 경우를 볼 수 있습니다
3070,이 책은 파이썬으로 배우는 머신러닝 딥러닝 실전 개발 입문 의 활용편으로 이전 책에서는 데이터를 수집하는 스크레이핑부터 기본적인 머신러닝 딥러닝을 다루었다면 이번 파이썬을 이용한 머신러닝 딥러닝 실전 앱 개발 에서는 기본적인 머신러닝 딥러닝부터 좀 더 실용적인 머신러닝 딥러닝 예제를 다룹니다
3071,머신러닝 딥러닝은 깊게 들어가면 들어 갈수록 정말 넓은 분야입니다
3072,일단 머신러닝과 딥러닝이 무엇인지 이 책에서 다루는 다양한 예제로 체험해보기 바랍니다
3073,인공지능의 아버지로 불리는 MIT 마빈 민스키 교수의 대표작 마음의 사회 The Society of Mind 를 한국어 완역본으로 만나본다
3074,년 미국에서 발간된 이후 전 세계 뇌과학 인공지능 분야 학자들의 필독서로 알려진 책으로 인공지능 분야는 물론 인지과학 심리 철학 분야에도 강력한 영향력을 미친 저자의 탁월한 통찰력이 담긴 개의 짧은 에세이로 구성되어 있다
3075,인공 지능에 관한 것이 아닌 인공 지능에 대해 우리가 어떻게 생각할 것인가에 대해 이야기하는 이 책은 인공지능 소프트웨어 개발을 위한 구체적인 기술을 가르치는 것이 아니라 지능이 실제로 무엇인지 생각하게 한다
3076,개 글의 각 꼭지는 특정 질문이나 현상을 제기하고 저자는 이 문제를 해결하거나 이 현상을 처리하는 방법을 마음에서 어떻게 구현해내는지를 설명하고 있는데 지능을 인공적으로 만들어내는 것 역시 얼마든지 가능하다고 믿은 저자의 연구 철학이 설득력 있게 서술되어 있다
3077,lt 수학 gt 평면 도형
3078,lt 수학 gt 들이와 무게
3079,lt 수학 gt 큰 수
3080,lt 수학 gt 소수의 덧셈과 뺄셈
3081,lt 수학 gt 약수와 배수
3082,lt 수학 gt 여러 가지 단위
3083,lt 수학 gt 원의 넓이
3084,lt 수학 gt 여러 가지 문제
3085,전 학년 lt 컴퓨터 gt lt 코딩 gt
3086,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
3087,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
3088,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
3089,왜 엔트리를 넘어 직접 코딩을 해야 할까요
3090,지금까지 어른이 직업적으로 만들어 왔던 프로그램을 왜 초등학생들이 학습해야 하는 걸까요
3091,가장 큰 이유는 세상의 변화 입니다
3092,우리 어른이 어린이였던 때를 돌이켜 보시기 바랍니다
3093,스마트폰은 고사하고 휴대전화조차 없었다 고 기억하는 사람이 많지 않을까요
3094,현재 우리가 사는 세상에는 컴퓨터로 움직이는 기기들이 넘쳐나고 이 같은 흐름은 지금 어린이들이 어른이 되는 년 후나 년 후에는 더욱 가속화되어 지금은 존재하지 않는 다양한 시스템으로 움직이는 로봇과 컴퓨터가 활약하겠지요
3095,벌써 단순한 노동이나 대부분의 서비스업은 기계로 바뀌어 가고 있습니다
3096,대화 상대 역시 인공지능 인공지능 이 대신합니다
3097,그와 같은 세상에서 확실하게 필요한 건 그런 로봇과 컴퓨터를 제어하는 일입니다
3098,머잖아 프로그램을 이해하지 못하고는 살아가기 어려운 세상이 될 것입니다
3099,그렇다면 이런 시대를 살아야 할 어린이들이 조금이라도 빠른 시기에 프로그래밍에 대한 기초를 배워둬야 하지 않을까요
3100,이 점이 프로그램을 배워야 하는 가장 중요한 이유입니다
3101,또 다른 이유는 프로그래밍이 논리적 사고 를 키워 주기 때문입니다
3102,논리적 사고는 어릴 때 익혀야 할 능력의 하나 로 정리하는 능력 과도 통합니다
3103,아직 유연한 사고를 하는 어린이들은 어른과 다르게 고생하지 않고도 쉽게 습득할 수 있습니다
3104,또한 논리적으로 생각하는 태도와 습관은 수학이나 과학 등의 교과 학습과도 직결된다는 점에서 코딩 교육은 기대를 모으고 있습니다
3105,그만큼 프로그래밍 학습은 다양한 효과를 기대할 수 있는 교육입니다
3106,직접 코딩으로 문제 해결 능력을 키운다
3107,유연한 사고가 가능한 초등학생 때 실제 프로그래머들이 직접 코딩하는 방법으로 컴퓨터 프로그램을 접하는 것이 코딩 교육에서는 매우 중요합니다
3108,학교에서 배우는 교육용 소프트웨어인 엔트리 Entry 도 훌륭한 교육 프로그램이지만 엔트리는 코딩 교육에서 얻고자 하는 핵심 역량을 키우기에는 한계가 있습니다
3109,알고리즘의 논리적 사고 를 키워 주는 것도 중요하지만 프로그래밍 과정에서 발생하는 여러 문제들을 발견하고 그것을 해결하는 문제 해결 능력도 매우 중요합니다
3110,이 책은 저자가 초등학생용으로 자체 개발한 교육 프로그램을 통해 실제 프로그래머의 코딩 과정을 직접 경험해 볼 수 있도록 했으며 문제 해결 과정을 익힐 수 있도록 구성했습니다
3111,이미 도래한 인공 지능 시대 인공 지능은 인류에게 축복일까 재앙일까
3112,년을 사는 사람들은 년을 어떻게 예측했을까요 뿌옇게 흐린 하늘 아래 사람들은 모두 마스크를 쓰거나 호흡기를 가린 채 거리를 활보하는 모습을 상상했습니다
3113,화상 통화로 회의를 하고 음성 인식이 가능한 전자 제품 덕분에 두 손이 자유로워지는 모습도 상상했지요
3114,불과 년 전에 예측했던 미래를 우리는 유사한 모습으로 살고 있습니다
3115,그렇다면 년의 우리는 어떻게 살고 있을까요 지금 우리가 상상하는 대로 살게 될까요
3116,미래를 예측하는 일은 무척 어렵습니다
3117,정확하지도 않을뿐더러 각자가 상상하는 폭이 다르니까요
3118,하지만 오랜 시간 동안 많은 사람들이 그려 온 미래는 대부분 가시화되고 있습니다
3119,인공 지능 처럼요
3120,알파고와 이세돌의 대국 이후 인공 지능은 가장 뜨거운 이슈가 되었습니다
3121,컴퓨터가 주도하는 인공 지능 따위는 가볍게 누를 수 있을 것이라고 예측했던 사람들은 혼란에 빠졌고 인공 지능은 순식간에 인류를 위협하는 가장 두려운 존재가 되었습니다
3122,인류를 위해 개발된 인공 지능이 인류를 위험에 빠뜨릴 수도 있다는 역설적인 예측 때문입니다
3123,인공 지능을 향한 사람들의 시선은 기대보다는 우려가 큰 듯 보입니다
3124,하지만 앞서 말한 바와 같이 미래를 예측하기란 어렵습니다
3125,그러니 인공 지능을 속단할 필요는 없습니다
3126,실제로는 기대와 우려 그 사이 어딘가에 실체가 존재할 테니까요
3127,인공 지능은 더 이상 상상의 기술이 아닙니다
3128,로봇 청소기 스마트폰 음성 인식 서비스 등 이미 인공 지능이 적용된 기술이 우리 생활 속에 자리하고 있습니다
3129,하지만 논란은 여전합니다
3130,과연 인공 지능은 인류에게 축복일까요 재앙일까요
3131,기존의 산업은 농업 수산업 등 자연환경을 이용하여 인간의 삶을 위한 기본에 충실한 상품을 생산하는 차 산업시대를 지나 생산된 물품을 가공하고 에너지를 생산하는 차 산업시대로 발전하였습니다
3132,그 후에는 생산된 제품을 소비자에게 전달하고 편리한 서비스를 제공하는 차 산업시대가 도래하였으며 이를 구현하기 위한 다양한 컴퓨팅 시스템이 발전하게 되었습니다
3133,이러한 컴퓨팅 시스템은 논리적인 조건에 의해 단순 반복 업무를 빠르게 수행하는 데에 초점이 이루어져 있습니다
3134,하지만 차 산업혁명 시대에서는 컴퓨터가 스스로 학습하고 판단하여 새로운 작업을 수행할 수 있는 인공지능 기반의 시대로 발전하고 있습니다
3135,이러한 차 산업혁명 시대를 대비하기 위하여 이 책에서는 인공지능의 개념을 전혀 모르는 일반인들도 쉽게 인공지능 기술을 이해하고 인공지능을 구현하는 텐서플로우를 통해 간단한 기능을 수행해 볼 수 있도록 구성하였습니다
3136,우선 장에서는 인공지능이란 무엇인지 전혀 모르더라도 쉽게 개념을 이해할 수 있도록 인공지능의 개요뿐 아니라 생활 속에서 활용하는 사례와 기술에 대해서 쉽게 설명하고 있습니다
3137,장에서는 인공지능이 어떻게 동작하는지를 이해할 수 있도록 활용되고 있는 알고리즘의 분류인 지도 학습 비지도 학습 강화 학습으로 나누어 설명을 하고 있습니다
3138,장에서는 실제 인공지능 시스템을 구현하고 동작시키기 위한 다양한 프레임워크와 라이브러리에 대한 설명하고 비교하는 내용을 포함하고 있습니다
3139,마지막으로 장에서는 인공지능 시스템을 구현하기 위해 머신러닝 동작에서 가장 많이 각광받고 있는 텐서플로우란 무엇이며 어떻게 설치하고 활용하는지 기본 예제를 통해 동작시켜 볼 수 있는 내용으로 구성하였습니다
3140,이 책을 통해 차 산업혁명 시대의 가장 중요한 키워드가 되고 있는 인공지능에 대한 기본 개념을 학습하고 각 분야에서 인공지능을 적용하기 위한 생각을 하는 데에 많은 도움이 될 수 있기를 바랍니다
3141,SQL이 보이는 그림책 이 년 만에 제대로 개정되어 선보였다
3142,번역판으로 판 쇄까지 발행 후 개정증보이니 쇄에 해당한다
3143,SQL structured 쿼리 language 은 쿼리와 테이블 무엇보다 데이터베이스 자체에 대한 개념 없이는 쉽게 접근하기 어려운 도구라고 할 수 있다
3144,그러나 그 강력함과 손쉬움으로 인해 데이터베이스의 세계에 빠져들지 않을 수 없게 만드는 매력적인 언어이기도 하다
3145,이 책은 딱딱하고 개념적이기 쉬운 데이터베이스를 SQL을 통해 일러스트와 함께 아주 쉽게 이해할 수 있도록 설명하고 있다
3146,이미지를 통해 설명하는 것이 아닌 보여주는 특징을 가진 이 책은 전체 장을 통해 개의 문만 통과하면 SQL과 데이터베이스에 대한 개념을 확실히 이해할 수 있도록 돕는다
3147,이번 개정증보판에서는 SQL 서버 익스프레스 설치방법을 안내하며 누구나 쉽게 인터넷에서 다운로드 가능한 점을 고려하여 CD롬 부록을 없앴다
3148,책에 나오는 데이터베이스 예제들은 성안당 자료실에서 다운로드 가능하다
3149,빅데이터 시대 데이터베이스는 이제 필수 공부 과목이 되었으므로 데이터 과학자나 데이터 분석가 데이터베이스 관리자를 꿈꾸는 이는 기본 도서로 일반인도 누구나 관심 있게 읽어볼 만하다
3150,언리얼 엔진 의 설치부터 클래스 메모리 관리 액터와 컴포넌트 이벤트와 델리게이트 입력과 충돌 클래스와 인터페이스의 통신 에디터 확장을 다루는 책이다
3151,또한 유저인터페이스 개발 NPC 인공지능 머티리얼과 셰이더에 대해서도 알려주며 추가적으로 도움이 될만한 API 등 전체적인 기능을 소개한다
3152,한국어판에서는 최신
3153,버전을 기준으로 모두 업데이트했으며 필요한 경우에는 현업 개발자들에 의해 다시 쓰였기 때문에 에디터 편집과 확장과 같은 쉽게 찾기 힘든 자료도 일부 포함하고 있다
3154,언리얼 엔진 와 C 을 사용해서 체계적으로 게임 개발을 시작하려는 분들에게 필수적인 책이다
3155,구글이 오픈소스화한 텐서플로 는 많은 개발자와 기업에서 사용되고 있습니다
3156,이 책은 텐서플로에 대한 기초적인 내용부터 고수준 API인 케라스를 이용한 딥러닝 모델 구축까지 상세하게 설명한 엔지니어를 위한 입문서입니다
3157,화제가 된 이미지로부터 노이즈를 제거하거나 그림을 자동으로 색칠해 주는 자동채색 저해상도의 그림을 고해상도로 바꿔주는 초해상 고흐와 같이 거장들의 그림 스타일로 바꿔주는 화풍변환 그리고 이미지 생성과 같이 어떻게 구현을 했을지 궁금한 딥러닝의 응용 예제들을 직접 코드를 실습해 보면서 이론을 이해할 수 있도록 설명하고 있습니다
3158,부 기초편에서는 심층학습과 텐서플로 케라스 기초를 설명하고 부 응용편에서는 케라스를 사용해서 노이즈제거 자동채색 초해상 화풍변환 이미지생성 등 텐서플로와 케라스의 기능을 배우면서 현장에서 사용할 수 있는 실용적인 딥러닝 모델까지 다루고 있어 딥러닝의 기초를 다지고 예제를 통해 딥러닝의 실무를 익히고 싶은 독자에게 좋은 참고서가 될 것입니다
3159,시스코 네트워킹 아카데미 프로그램 학습 가이드북
3160,패킷트레이서 최신 버전
3161,주요 기능 소개
3162,이 책은 국제공인 시스코 네트워킹 아카데미 프로그램 CCNA Cisco Certified 네트워크 Associate 교육과정의 핵심 내용을 담은 책이다
3163,시스코 네트워킹 프로그램은 컴퓨터 네트워킹 및 인터넷 기술에 대한 지식을 제공하는 전자 학습 프로그램으로 네트워크 시뮬레이션 도구인 패킷트레이서를 활용해 실습해 봄으로써 국내외 산업 및 표준 인증 시험을 체계적으로 준비할 수 있도록 도와준다
3164,패킷트레이서는 년 버전
3165,을 시작으로 년마다 업데이트 되고 있으며 이번에 출간되는 최신 개정판에서는 패킷트레이서 년 월 현재 버전인
3166,에서 제공하는 모든 주요 기능을 학습한다
3167,마인크래프트로 시작하는 코딩 은 마인크래프트 속 미니게임을 이용해서 코딩을 이해해 보는 도서입니다
3168,어렵고 복잡한 코딩이 아닌 마인크래프트로 쉽고 재미있게 코딩을 배워봅니다
3169,마인크래프트 속 미니게임을 직접 만들고 따라하면서 게임 기획부터 제작 과정까지 자세하게 설명합니다
3170,책에 수록된 미니게임의 제작자와 선생님이 대화를 주고받으면서 코딩 과정을 아이들 눈높이에 맞춰 설명합니다
3171,여러 미니게임을 통해 게임 제작 과정을 배우고 미니게임이 끝날 때마다 업그레이드 더 재미있는 코딩을 제공해 완성도를 높이도록 도와줍니다
3172,이 책의 특징
3173,오랫동안 스마트폰 활용법을 강의해 온 저자가 신중년들의 수준에 맞춘 활용서를 구성하여 스마트폰 왕초보부터 중급 이상 활용자까지 볼 수 있도록 만들었다
3174,특히 어려운 단어나 불필요한 글은 되도록 줄이고 이미지 위주로 구성하였으며 그림에 적혀 있는 번호대로 손을 움직이기만 하면 손쉽게 따라할 수 있도록 하였다
3175,부록에는 스마트폰 활용전문지도사 문제를 담아 자격검정시험까지 대비할 수 있도록 구성하였으며 lt 한국능력평가협회 gt 의 추천을 받은 인증된 책이다
3176,실제 사용자를 생각하는 디자인을 하고 있는가
3177,사용자를 넘어 사람을 배려하는 디자인을 위한 실질적인 담론
3178,우리는 제품 사용자가 누가 될지 제품을 사용할 때 어떤 감정일지 정확히 알 수 없습니다
3179,하지만 미리 스트레스 케이스를 고민하고 연민으로 디자인한다면 더 많은 사용자가 다양한 상황에서 도움받을 수 있습니다
3180,여러분이 디자이너건 개발자건 기획자건 실패할 수도 있는 디자인을 세상에 선보이기 전에 테스트할 수 있습니다
3181,모든 사용자를 만나볼 수는 없지만 이 책을 통해 더 넓은 범주의 사람을 위한 배려하는 디자인을 만들 수 있을 것입니다
3182,스마트폰에서 클라우드까지 IT 산업 곳곳에서 리눅스가 보입니다
3183,이렇게 산업과 생활 전반에 걸쳐 사용하는 OS는 어떻게 움직일까요
3184,이 책은 컴퓨터 시스템을 구성하는 운영체제를 그중 가장 많이 사용하는 리눅스를 예로 들어 설명했습니다
3185,단순히 읽고 넘어가지 않고 스스로 실습해보며 동작 원리를 익힐 수 있으며 프로그래머 시스템 설계자 등 대부분의 개발자에게 꼭 필요한 지식을 담았습니다
3186,이 책을 통해 소프트웨어와 하드웨어의 상호작용을 이해하세요
3187,그다음 책에서 배운 운영체제 전체 구성 프로세스 메모리 등에 대한 이해를 바탕으로 프로그램을 개발한다면 소프트웨어 신뢰도를 확보하는 동시에 성능 최적화까지도 도전할 수 있습니다
3188,쉽게 배우고 생활에 바로 쓰는 능력향상 시리즈 시즌
3189,능력향상 시리즈는 컴퓨터를 잘 다루지 못하는 일반인 컴퓨터를 처음 접하는 어르신들을 위해 만들어졌습니다
3190,실생활에 바로 적용할 수 있는 실용적인 예제를 중심으로 쉽고 자세하게 설명하였으며 사진 이미지에 따라하기 번호나 설명글을 첨부하여 설명대로 따라함에 어려움이 없도록 만들었습니다
3191,글자와 해당 이미지도 크게 하여 눈이 좋지 않은 어르신들도 보시기에 불편함이 없도록 하였습니다
3192,또한 각 챕터마다 QR코드를 삽입해 동영상으로도 강의를 들을 수 있어 책 한 권으로 혼자 연습하기에 좋습니다
3193,QR코드로 동영상을 보는 방법은 도서의 p를 참고
3194,능력향상 시리즈 시즌 는 인터넷 활용 블로그 만들기 동영상 편집 파워디렉터 포토스케이프를 이용한 앨범제작 스마트폰 SNS 카카오톡 인스타그램 스마트폰 사진편집 및 동영상제작 스마트폰 앱 활용하기 시니어 유튜브 크리에이터 스마트폰 사진 클라우드와 PC로 관리하기 가상현실과 증강현실 총 권으로 구성되어 있습니다
3195,필요에 따라 선택해 여러분들의 컴퓨터 능력을 향상시켜 보시기 바랍니다
3196,포토샵은 사용자가 보다 쉽고 빠르게 디자인 작업을 할 수 있도록 스마트한 자동 기능들과 도구 옵션 등을 새롭게 제공하고 있다
3197,이번 버전보다 간편하게 이미지와 문자 프레임을 구성할 수 있는 기능부터 손상된 이미지를 보다 정확하게 보정 및 복원할 수 있게 되었다
3198,한번에 다양한 드로잉 작업부터 장소에 상관없이 포토샵 작업을 할 수 있도록 기능과 작업 환경이 진화되어 이제 사용자들은 보다 쉽게 머릿속으로 상상한 디자인을 손쉽게 현실로 표현할 수 있게 되었다
3199,포토샵 작업에 필요한 필수 이론과 실전에 꼭 필요한 무작정 따라하기 예제를 통해 기초 이론부터 실무 노하우를 익히기 위한 실습까지 알차게 구성하였다
3200,체계적이고 효율적인 학습을 위해 우선순위 TOP 핵심 키워드 미리 알아두기 코너를 제공하여 혼자서도 포토샵을 배울 수 있으며 작업 중 궁금한 점은 바로 해결할 수 있도록 왜 Why 신속 문제 해결 코너와 동영상으로 배우는 혼자 해 보기 를 통해 포토샵을 마스터할 수 있다
3201,별책에서는 포토샵 CC의 새로운 기능과 한글 영문 명령어를 익힐 수 있다
3202,데이터의 중요성이 나날이 커져감에 따라 데이터를 효율적으로 수집하고 분석하는 것이 개인의 생산성을 좌우하는 핵심 역량이 되었습니다
3203,제대로 된 분석을 하기 위해서는 데이터를 이해하는 것에서부터 시작해 데이터를 활용할 수 있는 자신만의 도구를 찾는 작업이 필요합니다
3204,이 책은 데이터 과학을 기반으로 프로그래밍 언어나 통계학과 관련된 지식이 없는 사람도 누구나 쉽게 사용할 수 있는 엑셀을 통해서 데이터 분석을 할 수 있도록 구성되어 있습니다
3205,지루하게 어려운 개념을 파고드는 방법이 아니라
3206,엑셀에서 직접 실습하면서 자연스럽게 데이터 과학을 경험해 보세요
3207,어떤 독자를 위한 책인가
3208,데이터 분석을 하고 싶은데 코딩까지는 부담스러운 직장인
3209,엑셀로 데이터 분석 방법을 익혀 업무에 활용하고 싶은 일반인
3210,데이터 과학 에 관심은 있는데 시작할 엄두를 못 내는 일반인
3211,윈도우 디바이스 드라이버를 처음 개발하려는 독자들과 실무에서 필요로 하는 디바이스 드라이버를 개발하는 데 도움이 되는 지식을 얻고자 하는 독자들을 위해서 작성됐다
3212,이 책은 크게 디바이스 드라이버 개발에 처음 입문할 때 꼭 읽어봐야 할 부분인 기본편 장과 장 과 실무에서 장치유형별 디스크 HID I C 오디오 콜백 주소 테이블 가로채기 PCIe 오토 마우스와 오토 키보드 디바이스 드라이버를 개발하는 개발자들을 위한 응용편 장부터 장까지 두 부분으로 나뉜다
3213,따라서 디바이스 드라이버 개발에 처음 입문하는 독자들이나 실무에서 실제 하드웨어를 가지고 윈도우 운영체제에서 동작하는 디바이스 드라이버를 만들어야 하는 독자 모두를 만족시킬 수 있는 책이 될 것이다
3214,판에서는 기존 윈도우 기반의 내용을 윈도우 으로 업데이트하는 등 판 내용을 최신 버전에 맞춰 수정하고 설명을 추가했다
3215,실제 스마트 영업지원 시스템 개발 프로젝트의 라이프사이클을 따라가보자
3216,이 책에서는 실제 프로젝트의 생성과 소멸 시스템 개발 후 운영과 관리까지의 모든 라이프사이클을 따라가본다
3217,그러면서 실제와 같은 산출물을 바탕으로 소규모 프로젝트를 진행해볼 수 있다
3218,전반적인 프로젝트 관리를 다룬 PM 도서와는 많이 다르며 대상 독자도 다르다
3219,간접 체험을 통해 시간이 흘러야만 알 수 있는 기술적 경험과 공학적 이론이 실무에 어떻게 사용되는지를 전달하고자 했으며 독자가 가진 기술에 깊이를 더하고자 했다
3220,다양한 사람들이 참여하는 프로젝트를 이해한다는 것은 책임과 복잡한 이해관계를 이해한다는 것이다
3221,따라서 다른 사람과의 소통 능력 향상도 기대할 수 있다
3222,분야의 특성상 추상적인 것들을 최대한 그림과 표 다양한 산출물을 활용하여 쉽고 구체적으로 알 수 있도록 했다
3223,왜 개발자가 프로젝트의 모든 것을 알아야 할까
3224,PM이 아닌 이상 프로젝트에 참여하는 개발자나 엔지니어는 자기 분야 외의 것은 경험하기도 이해하기도 어렵다
3225,하지만 왜 개발자가 모든 과정을 알아야 할까 고도화된 IT 기술이 빠르게 변화하듯 더 괜찮은 개발자로 성장하려면 갖추어야 할 것들도 이전과는 다르게 변화하고 있다
